"","Stud_ID","PROJ_TOTAL","Proj01","Proj02","Proj03","Proj04","Proj05","Proj06","Proj07","Proj08","Proj09","Proj10","Proj11","Total_Pts","Exam1","Exam2","Exam3","Prob_solve_pre","Prob_solve_post","extraversion","agreeableness","conscient.","stability","openness","Metacog.","SelfEfficacy","IntGoalOrient","ExtGoalOrient"
"199","8c6488de1",428,13,19,18,37,44,43,49,46,54,54,51,870,92,120,131,21.5,21.5,41,NA,45,43,59,57,56,25,26
"200","023c086d7",410,14,18,14,38,44,36,48,45,49,51,53,744,56,85,93,4,5,39,NA,36,49,29,62,44,23,19
"201","dc1ad9b92",376,14,17,18,36,40,18,39,48,42,52,52,703,72,85,70,5.66666666666667,14,38,52,45,41,45,44,40,19,22
"202","d0da3256b",390,13,17,18,11,43,44,50,42,52,45,55,743,80,85,88,9.33333333333333,10.3333333333333,NA,NA,NA,NA,NA,49,45,22,24
"203","efd18e475",359,13,0,4,26,16,45,50,47,52,51,55,736,72,95,110,8.66666666666667,9,47,55,49,NA,43,51,45,19,23
"204","e4cfb0d14",278,14,9,8,6,42,43,9,47,51,49,0,645,52,90,125,8.83333333333333,7,40,36,38,49,33,61,38,20,19
"205","e96b1c243",318,12,17,18,29,41,42,15,28,38,37,41,726,80,145,111,11.5,16.5,35,42,37,22,44,48,27,11,17
"206","10b56673c",49,15,20,0,14,0,0,0,0,0,0,0,382,48,125,160,9.33333333333333,13.5,55,39,NA,NA,45,41,21,12,24
"207","260ea553a",401,14,18,20,17,39,41,48,46,51,52,55,812,72,110,130,19.5,13,56,63,25,38,52,34,34,14,22
"208","340a54d77",445,15,20,20,40,45,43,49,48,55,55,55,698,76,75,71,6,20,29,48,46,34,41,NA,NA,NA,NA
"209","62af21c3a",432,15,20,18,24,45,45,50,50,55,55,55,809,72,80,125,8.83333333333333,8.66666666666667,50,54,49,41,NA,53,41,24,28
"210","bb500bf9b",335,15,20,0,40,0,45,25,35,55,50,50,703,60,120,88,10,12.3333333333333,24,46,45,42,42,50,41,20,20
"211","39ec8534b",335,15,20,0,24,37,41,44,48,55,51,0,673,56,65,120,NA,0,NA,NA,NA,NA,NA,50,39,19,19
"212","96c721708",354,15,0,0,0,39,45,50,45,55,50,55,722,64,120,135,1,2,36,47,39,38,41,55,47,25,28
