"Name","Position","Team","Air Yards","Targets","Expected Catches","Actual Catches","Average Depth of Target","Expected Catch Rate","Catch Rate","Expected rec Yds","Actual Rec Yds","Expected Rec TD","Actual Rec TDs","Actual PPR Points","Expected PPR Points","PPR Points +/-","Actual Half PPR Points","Expected Half PPR Points","Half PPR Points +/-","Yards after the Catch","YAC Per Catch","Actual DK","Expected DK","DK +/-","Actual FD","Expected FD","FD +/-","Expected Rush Yards","Expected Rush TD","Actual Rush F Points","Expected Rush F Points","Touches","Carries","Rush Yds","Rush TD"
"Noah Brown","WR","DAL","9","1","0.65","1","9.00","65.40%","1.00","8.00","9","0.00","0","1.90","1.45","0.40","1.40","1.13","0.30","0","0.00","1.90","1.45","0.40","1.40","1.13","0.30","0.00","0.00","0.00","0.00","1","0","0","0"
"Alvin Kamara","RB","NO","8","14","11.20","10","0.57","79.99%","0.71","79.00","62","0.64","2","28.20","22.91","5.30","23.20","17.31","5.90","61","6.10","45.90","54.37","-8.50","40.90","48.77","-7.90","227.81","1.45","17.70","31.46","66","52","177","0"
"Austin Ekeler","RB","LAC","8","15","12.09","15","0.53","80.60%","1.00","92.02","113","0.20","1","32.30","22.49","9.80","24.80","16.44","8.40","105","7.00","54.90","44.59","10.30","47.40","38.55","8.90","142.41","1.31","22.60","22.11","50","35","166","1"
"A.J. Dillon","RB","GB","8","5","4.06","4","1.60","81.12%","0.80","32.78","23","0.00","0","6.30","7.35","-1.10","4.30","5.32","-1.00","17","4.25","11.80","14.68","-2.90","9.80","12.65","-2.90","66.27","0.12","5.50","7.33","20","15","55","0"
"Tony Jones Jr.","RB","NO","8","3","2.24","3","2.67","74.70%","1.00","16.14","13","0.29","0","4.30","5.60","-1.30","2.80","4.48","-1.70","0","0.00","11.20","14.00","-2.80","9.70","12.87","-3.20","74.57","0.16","6.90","8.39","19","16","69","0"
"Josh Jacobs","RB","LV","8","2","1.58","1","4.00","79.05%","0.50","14.15","6","0.01","0","1.60","3.03","-1.40","1.10","2.24","-1.10","4","4.00","17.00","9.90","7.10","16.50","9.11","7.40","36.47","0.54","15.40","6.87","12","10","34","2"
"Lee Smith","TE","BUF","8","4","2.91","4","2.00","72.68%","1.00","19.79","16","0.59","1","11.60","8.40","3.20","9.60","6.94","2.70","8","2.00","11.60","8.40","3.20","9.60","6.94","2.70","0.00","0.00","0.00","0.00","4","0","0","0"
"Jimmy Graham","TE","CHI","8","3","2.24","1","2.67","74.60%","0.33","18.47","11","0.25","0","2.10","5.58","-3.50","1.60","4.46","-2.90","1","1.00","2.10","5.58","-3.50","1.60","4.46","-2.90","0.00","0.00","0.00","0.00","3","0","0","0"
"Christian Blake","WR","ATL","8","1","0.76","1","8.00","75.90%","1.00","9.35","8","0.01","0","1.80","1.75","0.10","1.30","1.37","-0.10","0","0.00","1.80","1.75","0.10","1.30","1.37","-0.10","0.00","0.00","0.00","0.00","1","0","0","0"
"Auden Tate","WR","CIN","8","1","0.75","1","8.00","74.70%","1.00","9.29","14","0.00","0","2.40","1.68","0.70","1.90","1.30","0.60","6","6.00","2.40","1.68","0.70","1.90","1.30","0.60","0.00","0.00","0.00","0.00","1","0","0","0"
"Derek Carrier","TE","LV","7","2","1.54","2","3.50","77.10%","1.00","13.11","13","0.00","0","3.30","2.85","0.40","2.30","2.08","0.20","6","3.00","3.30","2.85","0.40","2.30","2.08","0.20","0.00","0.00","0.00","0.00","2","0","0","0"
"Cethan Carter","TE","CIN","7","1","0.63","1","7.00","62.70%","1.00","7.35","8","0.01","0","1.80","1.40","0.40","1.30","1.08","0.20","1","1.00","1.80","1.40","0.40","1.30","1.08","0.20","0.00","0.00","0.00","0.00","1","0","0","0"
"Dede Westbrook","WR","JAX","7","1","0.64","1","7.00","63.60%","1.00","7.01","11","0.01","0","2.10","1.37","0.70","1.60","1.06","0.50","4","4.00","2.10","1.37","0.70","1.60","1.06","0.50","0.00","0.00","0.00","0.00","1","0","0","0"
"Najee Harris","RB","PIT","6","27","21.39","20","0.22","79.22%","0.74","147.65","149","1.26","1","40.90","43.71","-2.80","30.90","33.02","-2.10","149","7.45","53.20","66.55","-13.40","43.20","55.86","-12.70","179.25","0.82","12.30","22.84","67","40","123","0"
"Carlos Hyde","RB","SEA","6","4","3.26","2","1.50","81.53%","0.50","25.14","14","0.02","0","3.40","5.90","-2.50","2.40","4.27","-1.90","16","8.00","12.90","15.15","-2.20","11.90","13.52","-1.60","85.44","0.12","9.50","9.25","23","19","95","0"
"Ameer Abdullah","RB","MIN","6","3","2.39","2","2.00","79.70%","0.67","20.17","15","0.00","0","3.50","4.43","-0.90","2.50","3.23","-0.70","13","6.50","6.30","7.61","-1.30","5.30","6.41","-1.10","30.57","0.02","2.80","3.18","9","6","28","0"
"Dee Eskridge","WR","SEA","6","1","0.75","1","6.00","75.30%","1.00","7.51","6","0.01","0","1.60","1.54","0.10","1.10","1.16","-0.10","0","0.00","3.80","2.56","1.20","3.30","2.18","1.10","9.62","0.01","2.20","1.02","3","2","22","0"
"Chuba Hubbard","RB","CAR","5","8","6.19","5","0.63","77.40%","0.63","41.77","31","0.72","0","8.10","14.70","-6.60","5.60","11.60","-6.00","22","4.40","14.30","25.96","-11.70","11.80","22.87","-11.10","82.38","0.50","6.20","11.26","27","19","62","0"
"Royce Freeman","RB","DEN","5","1","0.76","1","5.00","75.90%","1.00","6.73","8","0.00","0","1.80","1.43","0.40","1.30","1.05","0.20","3","3.00","3.50","6.83","-3.30","3.00","6.45","-3.50","17.80","0.60","1.70","5.40","6","5","17","0"
"C.J. Ham","RB","MIN","5","2","1.51","2","2.50","75.60%","1.00","12.34","9","0.00","0","2.90","2.75","0.20","1.90","1.99","-0.10","4","2.00","3.10","5.30","-2.20","2.10","4.54","-2.40","5.01","0.34","0.20","2.55","4","2","2","0"
"Chris Evans","RB","CIN","5","3","2.34","3","1.70","77.90%","1.00","18.55","40","0.00","0","7.00","4.21","2.80","5.50","3.04","2.50","35","11.67","7.00","4.21","2.80","5.50","3.04","2.50","0.00","0.00","0.00","0.00","3","0","0","0"
"Jakeem Grant Sr.","WR","MIA","5","1","0.65","1","5.00","65.40%","1.00","4.92","0","0.12","0","1.00","1.90","-0.90","0.50","1.57","-1.10","-5","-5.00","1.00","1.90","-0.90","0.50","1.57","-1.10","0.00","0.00","0.00","0.00","1","0","0","0"
"Marcedes Lewis","TE","GB","5","1","0.76","1","5.00","76.20%","1.00","6.88","19","0.00","0","2.90","1.47","1.40","2.40","1.09","1.30","14","14.00","2.90","1.47","1.40","2.40","1.09","1.30","0.00","0.00","0.00","0.00","1","0","0","0"
"Damien Harris","RB","NE","4","6","4.72","5","0.67","78.60%","0.83","35.03","16","0.03","0","6.60","8.38","-1.80","4.10","6.02","-1.90","16","3.20","30.20","36.10","-5.90","27.70","33.75","-6.00","194.45","1.38","23.60","27.73","51","45","176","1"
"Nyheim Hines","RB","IND","4","16","12.60","12","0.25","78.73%","0.75","93.16","109","0.13","0","22.90","22.68","0.20","16.90","16.38","0.50","106","8.83","35.30","31.91","3.40","29.30","25.61","3.70","70.90","0.36","12.40","9.23","32","16","64","1"
"Michael Carter","RB","NYJ","4","8","6.35","5","0.50","79.39%","0.63","48.88","48","0.04","0","9.80","11.45","-1.70","7.30","8.28","-1.00","51","10.20","18.70","25.47","-6.80","16.20","22.29","-6.10","107.54","0.54","8.90","14.01","32","24","89","0"
"Andy Janovich","RB","CLE","4","1","0.70","0","4.00","69.60%","0.00","6.12","0","0.01","0","0.00","1.36","-1.40","0.00","1.01","-1.00","0","","6.00","5.68","0.30","6.00","5.33","0.70","4.50","0.65","6.00","4.32","3","2","0","1"
"Durham Smythe","TE","MIA","4","3","2.45","1","1.30","81.60%","0.33","19.90","9","0.02","0","1.90","4.54","-2.60","1.40","3.32","-1.90","6","6.00","1.90","4.54","-2.60","1.40","3.32","-1.90","0.00","0.00","0.00","0.00","3","0","0","0"
"Gabe Nabers","RB","LAC","4","2","1.51","2","2.00","75.60%","1.00","11.32","11","0.00","0","3.10","2.64","0.50","2.10","1.89","0.20","7","3.50","3.30","3.02","0.30","2.30","2.27","0.00","3.43","0.01","0.20","0.38","3","1","2","0"
"David Johnson","RB","HOU","3","6","4.11","5","0.50","68.45%","0.83","26.17","40","0.83","1","15.00","11.68","3.30","12.50","9.63","2.90","42","8.40","19.60","16.97","2.60","17.10","14.92","2.20","51.14","0.03","4.60","5.29","17","11","46","0"
"Jauan Jennings","WR","SF","3","2","1.51","2","1.50","75.60%","1.00","11.81","17","0.24","1","9.70","4.16","5.50","8.70","3.40","5.30","14","7.00","9.70","4.16","5.50","8.70","3.40","5.30","0.00","0.00","0.00","0.00","2","0","0","0"
"Ezekiel Elliott","RB","DAL","2","7","5.06","7","0.29","72.30%","1.00","30.36","39","1.01","0","10.90","14.18","-3.30","7.40","11.65","-4.20","37","5.29","48.80","43.98","4.80","45.30","41.45","3.90","189.46","1.81","37.90","29.80","51","44","199","3"
"David Montgomery","RB","CHI","2","9","7.34","6","0.22","81.60%","0.67","55.41","49","0.10","0","10.90","13.51","-2.60","7.90","9.84","-1.90","48","8.00","37.20","38.75","-1.60","34.20","35.08","-0.90","200.44","0.87","26.30","25.25","55","46","203","1"
"James Conner","RB","PIT","2","1","0.78","1","2.00","78.30%","1.00","5.87","10","0.00","0","2.00","1.37","0.60","1.50","0.98","0.50","8","8.00","26.20","24.26","1.90","25.70","23.87","1.80","143.91","1.42","24.20","22.89","36","35","122","2"
"Damien Williams","RB","KC","2","3","2.38","2","0.67","79.40%","0.67","17.62","11","0.15","0","3.10","5.07","-2.00","2.10","3.88","-1.80","9","4.50","12.10","13.03","-0.90","11.10","11.84","-0.70","45.58","0.57","9.00","7.96","14","11","30","1"
"Devontae Booker","RB","LV","2","2","1.59","2","1.00","79.35%","1.00","11.82","8","0.01","0","2.80","2.80","0.00","1.80","2.01","-0.20","6","3.00","4.40","5.93","-1.50","3.40","5.14","-1.70","26.97","0.07","1.60","3.13","8","6","16","0"
"J.J. Taylor","RB","NE","2","2","1.64","2","1.00","82.05%","1.00","11.67","3","0.01","0","2.30","2.88","-0.60","1.30","2.06","-0.80","1","0.50","2.80","4.50","-1.70","1.80","3.68","-1.90","12.75","0.06","0.50","1.62","5","3","5","0"
