"Name","Position","Team","Air Yards","Targets","Expected Catches","Actual Catches","Average Depth of Target","Expected Catch Rate","Catch Rate","Expected rec Yds","Actual Rec Yds","Expected Rec TD","Actual Rec TDs","Actual PPR Points","Expected PPR Points","PPR Points +/-","Actual Half PPR Points","Expected Half PPR Points","Half PPR Points +/-","Yards after the Catch","YAC Per Catch","Actual DK","Expected DK","DK +/-","Actual FD","Expected FD","FD +/-","Expected Rush Yards","Expected Rush TD","Actual Rush F Points","Expected Rush F Points","Touches","Carries","Rush Yds","Rush TD"
"Pat Freiermuth","TE","PIT","84","10","6.54","8","8.40","65.37%","0.80","74.14","82","0.80","1","22.20","18.75","3.50","18.20","15.48","2.70","32","4.00","22.20","18.75","3.50","18.20","15.48","2.70","0.00","0.00","0.00","0.00","10","0","0","0"
"Jerry Jeudy","WR","DEN","83","7","4.35","6","11.86","62.19%","0.86","65.72","72","0.13","0","13.20","11.71","1.50","10.20","9.53","0.70","8","1.33","13.20","11.71","1.50","10.20","9.53","0.70","0.00","0.00","0.00","0.00","7","0","0","0"
"Olamide Zaccheaus","WR","ATL","82","10","6.54","5","8.20","65.37%","0.50","80.45","54","0.58","1","16.40","18.08","-1.70","13.90","14.81","-0.90","14","2.80","16.40","18.08","-1.70","13.90","14.81","-0.90","0.00","0.00","0.00","0.00","10","0","0","0"
"Cedrick Wilson","WR","DAL","81","9","5.76","8","9.00","64.00%","0.89","68.08","61","0.62","1","20.10","16.29","3.80","16.10","13.41","2.70","22","2.75","20.60","16.81","3.80","16.60","13.93","2.70","4.82","0.01","0.50","0.52","10","1","5","0"
"Collin Johnson","WR","JAX","80","7","4.49","5","11.43","64.16%","0.71","66.25","51","0.10","0","10.10","11.70","-1.60","7.60","9.46","-1.90","8","1.60","10.10","11.70","-1.60","7.60","9.46","-1.90","0.00","0.00","0.00","0.00","7","0","0","0"
"Dawson Knox","TE","BUF","79","12","7.94","10","6.58","66.12%","0.83","78.91","107","0.84","2","32.70","20.85","11.80","27.70","16.89","10.80","0","0.00","32.70","20.85","11.80","27.70","16.89","10.80","0.00","0.00","0.00","0.00","12","0","0","0"
"Jalen Guyton","WR","LAC","79","8","5.06","5","9.88","63.19%","0.63","59.27","62","0.69","0","11.20","15.10","-3.90","8.70","12.57","-3.90","41","8.20","12.40","16.00","-3.60","9.90","13.47","-3.60","8.79","0.00","1.20","0.90","10","2","12","0"
"JuJu Smith-Schuster","WR","PIT","77","19","14.49","13","4.05","76.28%","0.68","136.74","118","0.07","0","24.80","28.56","-3.80","18.30","21.31","-3.00","66","5.08","31.10","30.72","0.40","24.60","23.48","1.10","1.50","0.34","6.30","2.17","20","1","3","1"
"Jonnu Smith","TE","TEN","75","16","12.03","10","4.69","75.17%","0.63","113.82","74","0.28","0","17.40","25.09","-7.70","12.40","19.07","-6.70","56","5.60","18.00","25.57","-7.60","13.00","19.55","-6.60","4.26","0.01","0.60","0.48","17","1","6","0"
"James Washington","WR","PIT","75","8","5.42","5","9.38","67.69%","0.63","68.26","30","0.14","0","8.00","13.10","-5.10","5.50","10.39","-4.90","20","4.00","8.00","13.10","-5.10","5.50","10.39","-4.90","0.00","0.00","0.00","0.00","8","0","0","0"
"Tyler Conklin","TE","MIN","74","16","11.56","13","4.63","72.22%","0.81","106.43","126","0.66","1","31.60","26.14","5.50","25.10","20.36","4.70","60","4.62","31.60","26.14","5.50","25.10","20.36","4.70","0.00","0.00","0.00","0.00","16","0","0","0"
"Jacob Hollister","TE","SEA","73","6","3.71","2","12.17","61.85%","0.33","54.70","15","0.17","0","3.50","10.20","-6.70","2.50","8.34","-5.80","0","0.00","3.50","10.20","-6.70","2.50","8.34","-5.80","0.00","0.00","0.00","0.00","6","0","0","0"
"Jack Doyle","TE","IND","72","14","10.17","9","5.14","72.62%","0.64","98.97","95","0.65","0","18.50","23.95","-5.50","14.00","18.87","-4.90","55","6.11","18.50","23.95","-5.50","14.00","18.87","-4.90","0.00","0.00","0.00","0.00","14","0","0","0"
"Marquise Goodwin","WR","CHI","72","8","5.55","5","9.00","69.41%","0.63","71.74","55","0.21","0","10.50","13.99","-3.50","8.00","11.22","-3.20","17","3.40","10.30","14.53","-4.20","7.80","11.76","-4.00","4.88","0.01","-0.20","0.54","9","1","-2","0"
"Maxx Williams","TE","ARI","71","11","7.81","10","6.45","70.96%","0.91","84.43","113","0.09","0","21.30","16.77","4.50","16.30","12.86","3.40","64","6.40","21.30","16.77","4.50","16.30","12.86","3.40","0.00","0.00","0.00","0.00","11","0","0","0"
"Jeff Smith","WR","NYJ","71","4","2.22","2","17.75","55.42%","0.50","47.66","48","0.03","0","6.80","7.18","-0.40","5.80","6.07","-0.30","6","3.00","6.80","7.18","-0.40","5.80","6.07","-0.30","0.00","0.00","0.00","0.00","4","0","0","0"
"Brandon Aiyuk","WR","SF","70","8","4.75","5","8.75","59.40%","0.63","55.21","43","1.37","1","15.30","18.51","-3.20","12.80","16.13","-3.30","1","0.20","16.10","18.94","-2.80","13.60","16.56","-3.00","3.93","0.01","0.80","0.43","9","1","8","0"
"Eric Ebron","TE","PIT","70","7","3.91","1","10.00","55.89%","0.14","55.29","19","0.74","0","2.90","13.90","-11.00","2.40","11.94","-9.50","2","2.00","2.90","13.90","-11.00","2.40","11.94","-9.50","0.00","0.00","0.00","0.00","7","0","0","0"
"Pharaoh Brown","TE","HOU","70","6","3.98","4","11.67","66.25%","0.67","55.86","67","0.11","0","10.70","10.20","0.50","8.70","8.22","0.50","34","8.50","10.70","10.20","0.50","8.70","8.22","0.50","0.00","0.00","0.00","0.00","6","0","0","0"
"Allen Lazard","WR","GB","70","5","3.14","3","14.00","62.82%","0.60","57.01","58","0.09","0","8.80","9.38","-0.60","7.30","7.81","-0.50","21","7.00","8.80","9.38","-0.60","7.30","7.81","-0.50","0.00","0.00","0.00","0.00","5","0","0","0"
"Dallas Goedert","TE","PHI","69","11","7.09","8","6.27","64.47%","0.73","74.44","132","0.89","1","27.20","19.85","7.40","23.20","16.30","6.90","84","10.50","27.20","19.85","7.40","23.20","16.30","6.90","0.00","0.00","0.00","0.00","11","0","0","0"
"Parris Campbell","WR","IND","67","7","4.68","3","9.57","66.86%","0.43","63.13","33","0.05","0","6.30","11.28","-5.00","4.80","8.94","-4.10","5","1.67","6.30","11.28","-5.00","4.80","8.94","-4.10","0.00","0.00","0.00","0.00","7","0","0","0"
"Devin Duvernay","WR","BAL","66","5","2.92","3","13.20","58.32%","0.60","43.10","28","0.37","1","11.80","9.47","2.30","10.30","8.01","2.30","10","3.33","11.80","9.47","2.30","10.30","8.01","2.30","0.00","0.00","0.00","0.00","5","0","0","0"
"Jordan Akins","TE","HOU","65","9","5.70","5","7.22","63.37%","0.56","60.66","49","0.81","0","9.90","16.62","-6.70","7.40","13.77","-6.40","0","0.00","9.90","16.62","-6.70","7.40","13.77","-6.40","0.00","0.00","0.00","0.00","9","0","0","0"
"Mohamed Sanu Sr.","WR","SF","65","8","5.34","4","8.13","66.71%","0.50","62.33","43","0.22","0","8.30","12.91","-4.60","6.30","10.24","-3.90","0","0.00","8.30","12.91","-4.60","6.30","10.24","-3.90","0.00","0.00","0.00","0.00","8","0","0","0"
"Adam Humphries","WR","TEN","64","14","10.48","10","4.57","74.85%","0.71","104.42","61","0.11","0","16.10","21.56","-5.50","11.10","16.32","-5.20","41","4.10","16.10","21.56","-5.50","11.10","16.32","-5.20","0.00","0.00","0.00","0.00","14","0","0","0"
"Trent Sherfield","WR","ARI","64","6","3.70","3","10.67","61.70%","0.50","52.63","32","0.53","1","12.20","12.12","0.10","10.70","10.27","0.40","7","2.33","12.20","12.12","0.10","10.70","10.27","0.40","0.00","0.00","0.00","0.00","6","0","0","0"
"Ty Johnson","RB","DET","59","8","5.71","2","7.38","71.33%","0.25","67.70","17","0.06","0","3.70","12.85","-9.20","2.70","10.00","-7.30","11","5.50","11.90","24.24","-12.30","10.90","21.38","-10.50","86.13","0.46","8.20","11.39","27","19","82","0"
"James O'Shaughnessy","TE","JAX","59","9","6.50","7","6.56","72.17%","0.78","75.51","72","0.07","0","14.20","14.47","-0.30","10.70","11.23","-0.50","27","3.86","14.20","14.47","-0.30","10.70","11.23","-0.50","0.00","0.00","0.00","0.00","9","0","0","0"
"Freddie Swain","WR","SEA","58","8","5.49","6","7.25","68.63%","0.75","62.58","105","0.09","1","22.50","12.30","10.20","19.50","9.56","9.90","62","10.33","24.60","13.72","10.90","21.60","10.98","10.60","13.69","0.01","2.10","1.42","11","3","21","0"
"Kyle Rudolph","TE","MIN","57","7","4.22","4","8.14","60.30%","0.57","46.31","33","0.65","0","7.30","12.74","-5.40","5.30","10.63","-5.30","3","0.75","7.30","12.74","-5.40","5.30","10.63","-5.30","0.00","0.00","0.00","0.00","7","0","0","0"
"Randall Cobb","WR","HOU","57","5","2.85","4","11.40","56.94%","0.80","39.95","58","0.51","0","9.80","9.89","-0.10","7.80","8.47","-0.70","4","1.00","9.90","10.46","-0.60","7.90","9.04","-1.10","4.83","0.01","0.10","0.57","6","1","1","0"
"Donovan Peoples-Jones","WR","CLE","57","4","2.48","4","14.25","61.88%","1.00","45.00","57","0.03","0","9.70","7.14","2.60","7.70","5.90","1.80","0","0.00","9.70","7.14","2.60","7.70","5.90","1.80","0.00","0.00","0.00","0.00","4","0","0","0"
"Austin Hooper","TE","CLE","56","11","7.45","10","5.09","67.69%","0.91","66.87","86","0.87","1","24.60","19.36","5.20","19.60","15.63","4.00","34","3.40","24.60","19.36","5.20","19.60","15.63","4.00","0.00","0.00","0.00","0.00","11","0","0","0"
"Cole Kmet","TE","CHI","55","12","8.85","7","4.58","73.73%","0.58","83.90","53","0.04","0","12.30","17.50","-5.20","8.80","13.08","-4.30","31","4.43","12.30","17.50","-5.20","8.80","13.08","-4.30","0.00","0.00","0.00","0.00","12","0","0","0"
"Blake Jarwin","TE","DAL","54","9","6.26","8","6.00","69.50%","0.89","60.61","71","0.43","0","15.10","14.92","0.20","11.10","11.79","-0.70","27","3.38","15.10","14.92","0.20","11.10","11.79","-0.70","0.00","0.00","0.00","0.00","9","0","0","0"
"Mike Strachan","WR","IND","54","3","1.46","2","18.00","48.60%","0.67","28.36","26","0.27","0","4.60","5.90","-1.30","3.60","5.17","-1.60","0","0.00","4.60","5.90","-1.30","3.60","5.17","-1.60","0.00","0.00","0.00","0.00","3","0","0","0"
"Nick Westbrook-Ikhine","WR","TEN","53","7","4.54","6","7.57","64.84%","0.86","49.76","69","0.34","1","18.90","11.58","7.30","15.90","9.31","6.60","25","4.17","18.90","11.58","7.30","15.90","9.31","6.60","0.00","0.00","0.00","0.00","7","0","0","0"
"C.J. Board","WR","NYG","52","3","1.49","2","17.33","49.80%","0.67","27.13","44","0.30","0","6.40","6.01","0.40","5.40","5.26","0.10","4","2.00","7.00","6.53","0.50","6.00","5.78","0.20","4.68","0.01","0.60","0.52","4","1","6","0"
"James White","RB","NE","51","14","10.71","12","3.64","76.48%","0.86","101.21","94","0.16","0","21.40","21.81","-0.40","15.40","16.46","-1.10","70","5.83","31.20","27.40","3.80","25.20","22.04","3.20","44.35","0.19","9.80","5.59","24","10","38","1"
"Albert Wilson","WR","MIA","50","8","5.40","4","6.25","67.50%","0.50","52.07","20","0.53","0","6.00","13.80","-7.80","4.00","11.10","-7.10","11","2.75","6.00","13.80","-7.80","4.00","11.10","-7.10","0.00","0.00","0.00","0.00","8","0","0","0"
"Chris Conley","WR","JAX","48","5","3.33","3","9.60","66.66%","0.60","44.00","40","0.03","0","7.00","7.93","-0.90","5.50","6.26","-0.80","14","4.67","7.00","7.93","-0.90","5.50","6.26","-0.80","0.00","0.00","0.00","0.00","5","0","0","0"
"Kenyan Drake","RB","ARI","47","17","12.91","13","2.76","75.95%","0.77","114.25","138","0.13","0","26.80","25.12","1.70","20.30","18.67","1.60","117","9.00","31.20","36.66","-5.50","24.70","30.20","-5.50","93.95","0.36","4.40","11.54","38","21","44","0"
"Foster Moreau","TE","LV","44","5","3.08","3","8.80","61.62%","0.60","36.48","42","0.42","1","13.20","9.22","4.00","11.70","7.68","4.00","9","3.00","13.20","9.22","4.00","11.70","7.68","4.00","0.00","0.00","0.00","0.00","5","0","0","0"
"Rondale Moore","WR","ARI","43","15","11.42","13","2.87","76.16%","0.87","102.43","183","0.84","1","37.30","26.73","10.60","30.80","21.02","9.80","162","12.46","37.60","28.55","9.00","31.10","22.84","8.30","1.68","0.28","0.30","1.82","16","1","3","0"
"Rashard Higgins","WR","CLE","43","4","2.65","4","10.75","66.15%","1.00","39.73","51","0.01","0","9.10","6.65","2.40","7.10","5.33","1.80","0","0.00","9.10","6.65","2.40","7.10","5.33","1.80","0.00","0.00","0.00","0.00","4","0","0","0"
"Tyler Kroft","TE","BUF","42","9","6.71","6","4.67","74.53%","0.67","65.18","46","0.02","0","10.60","13.35","-2.80","7.60","10.00","-2.40","20","3.33","10.60","13.35","-2.80","7.60","10.00","-2.40","0.00","0.00","0.00","0.00","9","0","0","0"
"Michael Gallup","WR","DAL","42","7","4.86","4","6.00","69.39%","0.57","49.22","36","0.34","0","7.60","11.79","-4.20","5.60","9.36","-3.80","26","6.50","7.60","11.79","-4.20","5.60","9.36","-3.80","0.00","0.00","0.00","0.00","7","0","0","0"
"Zay Jones","WR","LV","42","3","1.80","3","14.00","60.10%","1.00","29.83","61","0.22","1","15.10","6.10","9.00","13.60","5.20","8.40","19","6.33","15.10","6.10","9.00","13.60","5.20","8.40","0.00","0.00","0.00","0.00","3","0","0","0"
"Tyron Johnson","WR","LAC","41","2","1.19","1","20.50","59.25%","0.50","19.74","6","0.15","0","1.60","4.07","-2.50","1.10","3.48","-2.40","9","9.00","1.60","4.07","-2.50","1.10","3.48","-2.40","0.00","0.00","0.00","0.00","2","0","0","0"
"Evan Engram","TE","NYG","40","6","4.12","2","6.67","68.65%","0.33","45.47","21","0.21","0","4.10","9.90","-5.80","3.10","7.84","-4.70","3","1.50","4.10","9.90","-5.80","3.10","7.84","-4.70","0.00","0.00","0.00","0.00","6","0","0","0"
"Cameron Brate","TE","TB","39","6","4.45","5","6.50","74.15%","0.83","46.82","43","0.13","0","9.30","9.92","-0.60","6.80","7.69","-0.90","24","4.80","9.30","9.92","-0.60","6.80","7.69","-0.90","0.00","0.00","0.00","0.00","6","0","0","0"
"Mike Thomas","WR","CIN","39","4","2.68","2","9.75","66.90%","0.50","32.60","24","0.20","0","4.40","7.13","-2.70","3.40","5.79","-2.40","10","5.00","4.40","7.13","-2.70","3.40","5.79","-2.40","0.00","0.00","0.00","0.00","4","0","0","0"
"Penny Hart","WR","SEA","39","2","1.20","1","19.50","59.85%","0.50","19.13","7","0.23","0","1.70","4.50","-2.80","1.20","3.90","-2.70","11","11.00","1.70","4.50","-2.80","1.20","3.90","-2.70","0.00","0.00","0.00","0.00","2","0","0","0"
"Salvon Ahmed","RB","MIA","38","6","4.32","2","6.33","71.95%","0.33","45.92","24","0.13","0","4.40","9.68","-5.30","3.40","7.52","-4.10","0","0.00","6.50","13.99","-7.50","5.50","11.83","-6.30","39.91","0.05","2.10","4.32","15","9","21","0"
"Tyler Higbee","TE","LAR","36","12","8.91","11","3.00","74.22%","0.92","74.58","116","0.81","1","28.60","21.21","7.40","23.10","16.76","6.30","85","7.73","28.60","21.21","7.40","23.10","16.76","6.30","0.00","0.00","0.00","0.00","12","0","0","0"
"Kyle Juszczyk","RB","SF","36","8","5.92","7","4.50","73.95%","0.88","52.31","59","0.29","1","18.90","12.88","6.00","15.40","9.92","5.50","20","2.86","20.50","17.31","3.20","17.00","14.36","2.60","22.23","0.37","1.60","4.44","14","6","16","0"
"Lil'Jordan Humphrey","WR","NO","36","2","1.14","1","18.00","56.85%","0.50","26.41","27","0.00","0","3.70","3.78","-0.10","3.20","3.21","0.00","9","9.00","3.70","3.78","-0.10","3.20","3.21","0.00","0.00","0.00","0.00","0.00","2","0","0","0"
"Adam Trautman","TE","NO","35","7","5.02","3","5.00","71.70%","0.43","47.94","18","0.22","0","4.80","11.11","-6.30","3.30","8.60","-5.30","11","3.67","4.80","11.11","-6.30","3.30","8.60","-5.30","0.00","0.00","0.00","0.00","7","0","0","0"
"J.D. McKissic","RB","WAS","34","9","6.57","7","3.78","72.97%","0.78","60.23","98","0.01","0","16.80","12.64","4.20","13.30","9.36","3.90","63","9.00","26.90","18.50","8.40","23.40","15.22","8.20","31.58","0.45","10.10","5.86","17","8","41","1"
"Ryan Griffin","TE","NYJ","34","9","6.74","6","3.78","74.90%","0.67","58.63","37","0.04","0","9.70","12.82","-3.10","6.70","9.45","-2.70","16","2.67","9.70","12.82","-3.10","6.70","9.45","-2.70","0.00","0.00","0.00","0.00","9","0","0","0"
"MyCole Pruitt","TE","TEN","34","4","2.75","4","8.50","68.85%","1.00","33.51","50","0.01","0","9.00","6.14","2.90","7.00","4.76","2.20","16","4.00","9.00","6.14","2.90","7.00","4.76","2.20","0.00","0.00","0.00","0.00","4","0","0","0"
"Laquon Treadwell","WR","ATL","32","1","0.26","0","32.00","25.80%","0.00","8.60","0","0.21","0","0.00","2.38","-2.40","0.00","2.26","-2.30","0","","0.00","2.38","-2.40","0.00","2.26","-2.30","0.00","0.00","0.00","0.00","1","0","0","0"
"Gerald Everett","TE","LAR","31","9","6.59","8","3.44","73.27%","0.89","58.10","77","0.25","1","21.70","13.90","7.80","17.70","10.60","7.10","56","7.00","21.70","13.90","7.80","17.70","10.60","7.10","0.00","0.00","0.00","0.00","9","0","0","0"
"Nico Collins","WR","HOU","30","4","2.66","2","7.50","66.45%","0.50","28.62","39","0.44","0","5.90","8.16","-2.30","4.90","6.83","-1.90","23","11.50","5.90","8.16","-2.30","4.90","6.83","-1.90","0.00","0.00","0.00","0.00","4","0","0","0"
"Malik Taylor","WR","GB","30","3","1.86","2","10.00","61.90%","0.67","24.18","14","0.28","0","3.40","5.93","-2.50","2.40","5.00","-2.60","8","4.00","3.40","5.93","-2.50","2.40","5.00","-2.60","0.00","0.00","0.00","0.00","3","0","0","0"
"Cam Sims","WR","WAS","30","3","1.99","2","10.00","66.40%","0.67","27.78","32","0.00","0","5.20","4.79","0.40","4.20","3.79","0.40","6","3.00","5.90","5.31","0.60","4.90","4.31","0.60","4.51","0.01","0.70","0.52","4","1","7","0"
"Denzel Mims","WR","NYJ","30","1","0.35","1","30.00","35.10%","1.00","12.90","40","0.04","0","5.00","1.91","3.10","4.50","1.73","2.80","10","10.00","5.00","1.91","3.10","4.50","1.73","2.80","0.00","0.00","0.00","0.00","1","0","0","0"
"Alec Ingold","RB","LV","29","6","4.17","5","4.83","69.50%","0.83","35.98","23","0.71","1","13.30","12.05","1.30","10.80","9.96","0.80","11","2.20","13.30","15.20","-1.90","10.80","13.12","-2.30","0.23","0.52","0.00","3.16","7","1","0","0"
"Mo Alie-Cox","TE","IND","29","6","4.54","3","4.83","75.70%","0.50","43.86","32","0.04","0","6.20","9.14","-2.90","4.70","6.87","-2.20","34","11.33","6.20","9.14","-2.90","4.70","6.87","-2.20","0.00","0.00","0.00","0.00","6","0","0","0"
"Will Dissly","TE","SEA","29","4","2.75","4","7.25","68.78%","1.00","31.97","76","0.03","0","11.60","6.14","5.50","9.60","4.77","4.80","47","11.75","11.60","6.14","5.50","9.60","4.77","4.80","0.00","0.00","0.00","0.00","4","0","0","0"
"Brandon Zylstra","WR","CAR","29","3","2.00","3","9.67","66.60%","1.00","26.08","44","0.12","1","13.40","5.32","8.10","11.90","4.32","7.60","15","5.00","13.40","5.32","8.10","11.90","4.32","7.60","0.00","0.00","0.00","0.00","3","0","0","0"
"Keelan Cole","WR","JAX","29","2","1.24","2","14.50","61.95%","1.00","21.16","30","0.01","0","5.00","3.44","1.60","4.00","2.82","1.20","1","0.50","5.00","3.44","1.60","4.00","2.82","1.20","0.00","0.00","0.00","0.00","2","0","0","0"
"Andre Roberts","WR","BUF","29","2","1.11","1","14.50","55.65%","0.50","21.16","35","0.02","0","4.50","3.34","1.20","4.00","2.78","1.20","16","16.00","4.50","3.34","1.20","4.00","2.78","1.20","0.00","0.00","0.00","0.00","2","0","0","0"
"James Proche II","WR","BAL","29","1","0.32","1","29.00","32.10%","1.00","12.89","29","0.02","0","3.90","1.72","2.20","3.40","1.56","1.80","0","0.00","3.90","1.72","2.20","3.40","1.56","1.80","0.00","0.00","0.00","0.00","1","0","0","0"
"Geoff Swaim","TE","TEN","28","7","5.14","5","4.00","73.41%","0.71","40.47","37","0.59","0","8.70","12.75","-4.10","6.20","10.18","-4.00","24","4.80","8.70","12.75","-4.10","6.20","10.18","-4.00","0.00","0.00","0.00","0.00","7","0","0","0"
"Anthony Miller","WR","CHI","28","6","4.42","4","4.67","73.60%","0.67","41.02","20","0.62","1","12.00","12.21","-0.20","10.00","10.00","0.00","5","1.25","12.00","12.21","-0.20","10.00","10.00","0.00","0.00","0.00","0.00","0.00","6","0","0","0"
